Player,bbref_id,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Miye Oni\onimi01,onimi01,SG,23,UTA,54,0,9.611111111,0.648148148,1.833333333,0.353535354,0.555555556,1.62962963,0.340909091,0.092592593,0.203703704,0.454545455,0.092592593,0.111111111,0.833333333,0.425925926,1.12962963,1.555555556,0.518518519,0.203703704,0.148148148,0.296296296,1.12962963,1.944444444
Cedi Osman\osmande01,osmande01,SF,25,CLE,59,26,25.59322034,3.711864407,9.93220339,0.373720137,1.677966102,5.491525424,0.305555556,2.033898305,4.440677966,0.458015267,1.288135593,1.610169492,0.8,0.644067797,2.762711864,3.406779661,2.949152542,0.898305085,0.152542373,1.355932203,2.016949153,10.38983051
Daniel Oturu\oturuda01,oturuda01,C,21,LAC,30,0,5.366666667,0.733333333,1.733333333,0.423076923,0.033333333,0.166666667,0.2,0.7,1.566666667,0.446808511,0.3,0.4,0.75,0.7,0.9,1.6,0.333333333,0.133333333,0.233333333,0.3,0.8,1.8
Kelly Oubre Jr.\oubreke01,oubreke01,SF,25,GSW,55,50,30.67272727,5.781818182,13.16363636,0.439226519,1.636363636,5.181818182,0.315789474,4.145454545,7.981818182,0.519362187,2.236363636,3.218181818,0.694915254,1.490909091,4.490909091,5.981818182,1.327272727,1.036363636,0.763636364,1.272727273,2.2,15.43636364
Jabari Parker\parkeja01,parkeja01,PF,25,TOT,26,0,12.69230769,2.307692308,4.230769231,0.545454545,0.153846154,0.846153846,0.181818182,2.153846154,3.384615385,0.636363636,0.769230769,1,0.769230769,0.769230769,2.461538462,3.230769231,0.846153846,0.076923077,0.384615385,0.769230769,1,5.538461538
Eric Paschall\pascher01,pascher01,PF,24,GSW,40,2,17.375,3.7,7.45,0.496644295,0.45,1.35,0.333333333,3.25,6.1,0.532786885,1.675,2.35,0.712765957,0.7,2.5,3.2,1.275,0.3,0.175,1.075,1.7,9.525
Anžejs Pasečņiks\pasecan01,pasecan01,C,25,WAS,1,0,6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,5,2,0
Patrick Patterson\pattepa01,pattepa01,PF,31,LAC,38,5,15.31578947,1.894736842,4.342105263,0.436363636,1.052631579,2.947368421,0.357142857,0.842105263,1.394736842,0.603773585,0.342105263,0.447368421,0.764705882,0.5,1.473684211,1.973684211,0.763157895,0.368421053,0.210526316,0.289473684,1.184210526,5.184210526
Justin Patton\pattoju01,pattoju01,C,23,HOU,13,6,19,2.230769231,5.384615385,0.414285714,0.692307692,2.615384615,0.264705882,1.538461538,2.769230769,0.555555556,0.230769231,0.307692308,0.75,1.076923077,2.692307692,3.769230769,1.076923077,0.923076923,1.076923077,0.307692308,2.615384615,5.384615385
Chris Paul\paulch01,paulch01,PG,35,PHO,70,70,31.41428571,6.271428571,12.55714286,0.499431172,1.457142857,3.685714286,0.395348837,4.814285714,8.871428571,0.542673108,2.414285714,2.585714286,0.933701657,0.357142857,4.1,4.457142857,8.885714286,1.414285714,0.271428571,2.228571429,2.371428571,16.41428571
Cameron Payne\payneca01,payneca01,PG,26,PHO,60,1,17.98333333,3.183333333,6.583333333,0.483544304,1.216666667,2.766666667,0.439759036,1.966666667,3.816666667,0.515283843,0.833333333,0.933333333,0.892857143,0.266666667,2.133333333,2.4,3.616666667,0.6,0.266666667,1,1.616666667,8.416666667
Elfrid Payton\paytoel01,paytoel01,PG,26,NYK,63,63,23.55555556,4.26984127,9.873015873,0.432475884,0.444444444,1.555555556,0.285714286,3.825396825,8.317460317,0.459923664,1.158730159,1.698412698,0.682242991,1.015873016,2.412698413,3.428571429,3.222222222,0.746031746,0.142857143,1.634920635,1.841269841,10.14285714
Gary Payton II\paytoga02,paytoga02,PG,28,GSW,10,0,4,1,1.3,0.769230769,0.2,0.4,0.5,0.8,0.9,0.888888889,0.3,0.4,0.75,0.2,0.9,1.1,0.1,0.6,0.1,0.1,0.8,2.5
